TIME,RPM,WSS
16382840,0,3895
16434864,0,3901
16489588,0,3908
16543712,0,3917
16597536,0,3945
16649720,0,3929
16704708,0,3927
16759556,0,3955
16809988,0,3933
16861652,0,3970
16913432,0,3976
16965660,0,4007
17018536,0,3982
17070460,0,4013
17122724,0,4001
17174424,0,4029
17226688,0,4024
17278696,0,4054
17331916,0,4044
17383732,0,4075
17438028,0,4060
17491160,0,4094
17546892,0,4066
17601916,0,4121
17654460,0,4081
17708928,0,4150
17762704,0,4121
17816252,0,4171
17869820,0,4127
17924256,0,4187
17979656,0,4137
18033620,0,4199
18087204,0,4168
18142068,0,4231
18197612,0,4196
18251960,0,4264
18307016,0,4233
18358192,0,4267
18409524,0,4305
18460664,0,4295
18512396,0,4280
18563208,0,4317
18615092,0,4339
18667240,0,4335
18720288,0,4361
18775884,0,4363
18828200,0,4379
18880052,0,4360
18932112,0,4422
18986060,0,4350
19038244,0,4413
19091356,0,4388
19143208,0,4428
19197832,0,4438
19250464,0,4453
19303720,0,4456
19356664,0,4475
19410696,0,4500
19465388,0,4506
19519720,0,4523
19572868,0,4522
19625948,0,4583
19681108,0,4506
19735528,0,4556
19790564,0,4534
19844584,0,4574
19900628,0,4595
19955252,0,4611
20011260,0,4633
20066320,0,4630
20122952,0,4670
20179220,0,4683
20233656,0,4704
20291376,0,4683
20346036,0,4757
20402892,0,4667
20459648,0,4732
20515988,0,4772
20568464,0,4757
20625028,0,4782
20677104,0,4772
20730236,0,4804
20781552,0,4816
20834772,0,4819
20888308,0,4862
20941560,0,4849
20995004,0,4866
21048744,0,4896
21102160,0,4905
21154128,0,4856
21207888,0,4906
21262648,0,4927
21318020,0,4942
21371148,0,4962
21426224,0,4940
21480500,0,5029
21535160,0,4974
21589940,0,5001
21644580,0,4993
21700436,0,5023
21754832,0,5045
21810752,0,5051
21866036,0,5095
21921876,0,5067
21978420,0,5115
22034360,0,5129
22092188,0,5144
22148008,0,5191
22203912,0,5194
22261448,0,5188
22318564,0,5231
22374820,0,5212
22426392,0,5219
22479092,0,5250
22531340,0,5247
22584908,0,5275
22642876,0,5308
22700376,0,5299
22752192,0,5327
22806556,0,5330
22859324,0,5321
22914072,0,5348
22966788,0,5386
23021396,0,5361
23075152,0,5414
23129464,0,5436
23184172,0,5402
23236632,0,5470
23290872,0,5507
23346832,0,5510
23401112,0,5482
23455684,0,5519
23510632,0,5508
23565584,0,5507
23621980,0,5559
23677204,0,5597
23733028,0,5563
23788860,0,5618
23844992,0,5662
23900948,0,5609
23957136,0,5687
24014372,0,5708
24071108,0,5711
24127624,0,5699
24183824,0,5748
24241544,0,5743
24298404,0,5768
24351572,0,5805
24409832,0,5879
24467384,0,5801
24525996,0,5844
24583960,0,5833
24636660,0,5813
24689516,0,5885
24742808,0,5919
24801452,0,5907
24853908,0,5944
24907732,0,5969
24961268,0,5941
25015056,0,5993
25068384,0,6002
25123232,0,6055
25178720,0,6065
25232112,0,6068
25286480,0,6074
25341484,0,6170
25396140,0,6167
25451336,0,6136
25506844,0,6155
25561536,0,6133
25617060,0,6210
25672652,0,6260
25728040,0,6217
25785228,0,6263
25841704,0,6256
25898548,0,6232
25954156,0,6312
26011620,0,6335
26068100,0,6358
26124368,0,6368
26182784,0,6412
26239748,0,6390
26297124,0,6412
26354276,0,6460
26413684,0,6443
26470992,0,6480
26530484,0,6481
26588728,0,6548
26647460,0,6570
26706688,0,6591
26765004,0,6592
26824152,0,6684
26883744,0,6666
26943460,0,6637
27002744,0,6728
27057368,0,6765
27117776,0,6731
27177616,0,6815
27231840,0,6769
27285616,0,6811
27339944,0,6808
27393944,0,6831
27449900,0,6843
27503520,0,6867
27559096,0,6901
27615624,0,6941
27676764,0,6959
27732028,0,6957
27788020,0,6967
27844548,0,7053
27900556,0,7041
27955096,0,7099
28012716,0,7071
28068256,0,7103
28125028,0,7118
28182876,0,7118
28238364,0,7178
28297112,0,7225
28355532,0,7217
28412056,0,7251
28469332,0,7245
28527868,0,7276
28587572,0,7360
